Processed 2800000 rows; Write: 10922.12 rows/s
Processed 2810000 rows; Write: 10837.90 rows/s
Processed 2820000 rows; Write: 11002.98 rows/s
Processed 2830000 rows; Write: 10710.14 rows/s
Processed 2840000 rows; Write: 9868.91 rows/s
Processed 2850000 rows; Write: 9077.03 rows/s
Processed 2860000 rows; Write: 9861.04 rows/s
Processed 2870000 rows; Write: 10060.42 rows/s
Processed 2880000 rows; Write: 9989.93 rows/s
Processed 2890000 rows; Write: 10183.12 rows/s
Processed 2900000 rows; Write: 10580.01 rows/s
Processed 2910000 rows; Write: 10771.35 rows/s
Processed 2920000 rows; Write: 10885.33 rows/s
Processed 2930000 rows; Write: 10884.92 rows/s
Processed 2940000 rows; Write: 10498.64 rows/s
Processed 2950000 rows; Write: 10360.01 rows/s
Processed 2960000 rows; Write: 8624.39 rows/s
Processed 2970000 rows; Write: 8429.43 rows/s
Processed 2980000 rows; Write: 9401.73 rows/s
Processed 2990000 rows; Write: 10503.56 rows/s
Processed 3000000 rows; Write: 11279.71 rows/s
Processed 3010000 rows; Write: 11255.12 rows/s
Processed 3020000 rows; Write: 10611.25 rows/s
Processed 3030000 rows; Write: 10969.75 rows/s
Processed 3040000 rows; Write: 11202.76 rows/s
Processed 3050000 rows; Write: 10466.13 rows/s
Processed 3060000 rows; Write: 10318.83 rows/s
Processed 3070000 rows; Write: 11044.25 rows/s
Processed 3080000 rows; Write: 10968.47 rows/s
Processed 3090000 rows; Write: 10798.65 rows/s
Processed 3100000 rows; Write: 10509.36 rows/s
Processed 3110000 rows; Write: 10905.85 rows/s
Processed 3120000 rows; Write: 10326.32 rows/s
Processed 3130000 rows; Write: 10282.87 rows/s
Processed 3140000 rows; Write: 10662.75 rows/s
Processed 3150000 rows; Write: 9983.84 rows/s
Processed 3160000 rows; Write: 10229.68 rows/s
Processed 3170000 rows; Write: 10210.40 rows/s
Processed 3180000 rows; Write: 10480.13 rows/s
Processed 3190000 rows; Write: 10388.80 rows/s
Processed 3200000 rows; Write: 10354.01 rows/s
Processed 3210000 rows; Write: 10136.08 rows/s
Processed 3220000 rows; Write: 10337.08 rows/s
Processed 3230000 rows; Write: 10495.94 rows/s
Processed 3240000 rows; Write: 10902.23 rows/s
Processed 3250000 rows; Write: 10664.05 rows/s
Processed 3260000 rows; Write: 10346.82 rows/s
Processed 3270000 rows; Write: 9898.45 rows/s
Processed 3280000 rows; Write: 10428.12 rows/s
Processed 3290000 rows; Write: 10350.16 rows/s
Processed 3300000 rows; Write: 10305.54 rows/s
Processed 3310000 rows; Write: 11171.75 rows/s
Processed 3320000 rows; Write: 11278.23 rows/s
Processed 3330000 rows; Write: 10717.11 rows/s
Processed 3340000 rows; Write: 10414.08 rows/s
Processed 3350000 rows; Write: 10851.80 rows/s
Processed 3360000 rows; Write: 10320.99 rows/s
Processed 3370000 rows; Write: 10362.10 rows/s
Processed 3380000 rows; Write: 11188.97 rows/s
Processed 3390000 rows; Write: 11216.06 rows/s
Processed 3400000 rows; Write: 10943.21 rows/s
Processed 3410000 rows; Write: 10538.23 rows/s
Processed 3420000 rows; Write: 10792.51 rows/s
Processed 3430000 rows; Write: 10670.97 rows/s
Processed 3440000 rows; Write: 10307.83 rows/s
Processed 3450000 rows; Write: 10695.91 rows/s
Processed 3460000 rows; Write: 10651.35 rows/s
Processed 3470000 rows; Write: 10657.27 rows/s
Processed 3480000 rows; Write: 10567.17 rows/s
Processed 3490000 rows; Write: 10731.10 rows/s
Processed 3500000 rows; Write: 10600.02 rows/s
Processed 3510000 rows; Write: 10460.14 rows/s
Processed 3520000 rows; Write: 10206.98 rows/s
Processed 3530000 rows; Write: 10544.80 rows/s
Processed 3540000 rows; Write: 9954.14 rows/s
Processed 3550000 rows; Write: 10550.38 rows/s
Processed 3560000 rows; Write: 11083.23 rows/s
Processed 3570000 rows; Write: 10686.42 rows/s
Processed 3580000 rows; Write: 10466.01 rows/s
Processed 3590000 rows; Write: 10527.94 rows/s
Processed 3600000 rows; Write: 10779.89 rows/s
Processed 3610000 rows; Write: 10639.38 rows/s
Processed 3620000 rows; Write: 10327.00 rows/s
Processed 3630000 rows; Write: 10600.30 rows/s
Processed 3640000 rows; Write: 10957.30 rows/s
Processed 3650000 rows; Write: 10618.72 rows/s
Processed 3660000 rows; Write: 10393.13 rows/s
Processed 3670000 rows; Write: 9913.61 rows/s
Processed 3680000 rows; Write: 10504.77 rows/s
Processed 3690000 rows; Write: 10251.25 rows/s
Processed 3700000 rows; Write: 11112.04 rows/s
Processed 3710000 rows; Write: 10945.12 rows/s
Processed 3720000 rows; Write: 10636.20 rows/s
Processed 3730000 rows; Write: 10242.32 rows/s
Processed 3740000 rows; Write: 10087.84 rows/s
Processed 3750000 rows; Write: 10578.43 rows/s
Processed 3760000 rows; Write: 10580.91 rows/s
Processed 3770000 rows; Write: 10240.02 rows/s
Processed 3780000 rows; Write: 10326.58 rows/s
Processed 3790000 rows; Write: 10355.09 rows/s
Processed 3800000 rows; Write: 10199.78 rows/s
Processed 3810000 rows; Write: 9971.41 rows/s
Processed 3820000 rows; Write: 10190.13 rows/s
Processed 3830000 rows; Write: 11300.51 rows/s
Processed 3840000 rows; Write: 11483.21 rows/s
Processed 3850000 rows; Write: 10992.68 rows/s
Processed 3860000 rows; Write: 10715.22 rows/s
Processed 3870000 rows; Write: 10521.05 rows/s
Processed 3880000 rows; Write: 10366.43 rows/s
Processed 3890000 rows; Write: 10670.12 rows/s
Processed 3900000 rows; Write: 9823.74 rows/s
Processed 3910000 rows; Write: 10036.49 rows/s
Processed 3920000 rows; Write: 10107.83 rows/s
Processed 3930000 rows; Write: 10416.68 rows/s
Processed 3940000 rows; Write: 10494.80 rows/s
Processed 3950000 rows; Write: 10401.71 rows/s
Processed 3960000 rows; Write: 10531.84 rows/s
Processed 3970000 rows; Write: 10834.99 rows/s
Processed 3980000 rows; Write: 10658.12 rows/s
Processed 3990000 rows; Write: 10814.06 rows/s
Processed 4000000 rows; Write: 10602.16 rows/s
Processed 4010000 rows; Write: 10074.06 rows/s
Processed 4020000 rows; Write: 10406.23 rows/s
Processed 4030000 rows; Write: 10422.33 rows/s
Processed 4040000 rows; Write: 10468.14 rows/s
Processed 4050000 rows; Write: 10173.88 rows/s
Processed 4060000 rows; Write: 10557.33 rows/s
Processed 4070000 rows; Write: 10928.95 rows/s
Processed 4080000 rows; Write: 10586.32 rows/s
Processed 4090000 rows; Write: 10649.24 rows/s
Processed 4100000 rows; Write: 10232.17 rows/s
Processed 4110000 rows; Write: 10544.93 rows/s
Processed 4120000 rows; Write: 10519.11 rows/s
Processed 4130000 rows; Write: 10522.53 rows/s
Processed 4140000 rows; Write: 10635.24 rows/s
Processed 4150000 rows; Write: 10270.59 rows/s
Processed 4160000 rows; Write: 10319.66 rows/s
Processed 4170000 rows; Write: 10647.62 rows/s
Processed 4180000 rows; Write: 10290.56 rows/s
Processed 4190000 rows; Write: 10176.99 rows/s
Processed 4200000 rows; Write: 10416.99 rows/s
Processed 4210000 rows; Write: 9324.23 rows/s
Processed 4220000 rows; Write: 9629.92 rows/s
Processed 4230000 rows; Write: 9426.84 rows/s
Processed 4240000 rows; Write: 9477.78 rows/s
Processed 4250000 rows; Write: 9369.43 rows/s
Processed 4260000 rows; Write: 10033.89 rows/s
Processed 4270000 rows; Write: 10436.16 rows/s
Processed 4280000 rows; Write: 10229.81 rows/s
Processed 4290000 rows; Write: 10682.76 rows/s
Processed 4300000 rows; Write: 10835.00 rows/s
Processed 4310000 rows; Write: 10798.37 rows/s
Processed 4320000 rows; Write: 10023.59 rows/s
Processed 4330000 rows; Write: 10105.25 rows/s
Processed 4340000 rows; Write: 10581.97 rows/s
Processed 4350000 rows; Write: 10458.75 rows/s
Processed 4360000 rows; Write: 9990.53 rows/s
Processed 4370000 rows; Write: 10094.71 rows/s
Processed 4380000 rows; Write: 10262.90 rows/s
Processed 4390000 rows; Write: 11213.23 rows/s
Processed 4400000 rows; Write: 10877.51 rows/s
Processed 4410000 rows; Write: 10467.06 rows/s
Processed 4420000 rows; Write: 10294.90 rows/s
Processed 4430000 rows; Write: 10605.91 rows/s
Processed 4440000 rows; Write: 10081.08 rows/s
Processed 4450000 rows; Write: 10240.14 rows/s
Processed 4460000 rows; Write: 10644.90 rows/s
Processed 4470000 rows; Write: 10249.62 rows/s
Processed 4480000 rows; Write: 10238.27 rows/s
Processed 4490000 rows; Write: 10399.31 rows/s
Processed 4500000 rows; Write: 10317.13 rows/s
Processed 4510000 rows; Write: 10123.39 rows/s
Processed 4520000 rows; Write: 10994.07 rows/s
Processed 4530000 rows; Write: 10586.02 rows/s
Processed 4540000 rows; Write: 10357.44 rows/s
Processed 4550000 rows; Write: 10553.92 rows/s
Processed 4560000 rows; Write: 10375.22 rows/s
Processed 4570000 rows; Write: 10510.14 rows/s
Processed 4580000 rows; Write: 10650.93 rows/s
Processed 4590000 rows; Write: 10625.46 rows/s
Processed 4600000 rows; Write: 10329.76 rows/s
Processed 4610000 rows; Write: 10191.85 rows/s
Processed 4620000 rows; Write: 9900.52 rows/s
Processed 4630000 rows; Write: 10606.81 rows/s
Processed 4640000 rows; Write: 10295.92 rows/s
Processed 4650000 rows; Write: 10426.76 rows/s
Processed 4660000 rows; Write: 10839.05 rows/s
Processed 4670000 rows; Write: 10257.35 rows/s
Processed 4680000 rows; Write: 10041.08 rows/s
Processed 4690000 rows; Write: 10451.13 rows/s
Processed 4700000 rows; Write: 10793.95 rows/s
Processed 4710000 rows; Write: 12004.93 rows/s
Processed 4720000 rows; Write: 11482.51 rows/s
Processed 4730000 rows; Write: 10963.57 rows/s
Processed 4740000 rows; Write: 10502.81 rows/s
Processed 4750000 rows; Write: 10286.13 rows/s
Processed 4760000 rows; Write: 10540.93 rows/s
Processed 4770000 rows; Write: 10838.83 rows/s
Processed 4780000 rows; Write: 10572.93 rows/s
Processed 4790000 rows; Write: 10749.43 rows/s
Processed 4800000 rows; Write: 10786.00 rows/s
Processed 4810000 rows; Write: 10540.98 rows/s
Processed 4820000 rows; Write: 10358.34 rows/s
Processed 4830000 rows; Write: 10325.74 rows/s
Processed 4840000 rows; Write: 10790.87 rows/s
Processed 4850000 rows; Write: 10267.48 rows/s
Processed 4860000 rows; Write: 10188.68 rows/s
Processed 4870000 rows; Write: 9934.71 rows/s
Processed 4880000 rows; Write: 10302.49 rows/s
Processed 4890000 rows; Write: 9934.84 rows/s
Processed 4900000 rows; Write: 10414.53 rows/s
Processed 4910000 rows; Write: 10707.63 rows/s
Processed 4920000 rows; Write: 10891.43 rows/s
Processed 4930000 rows; Write: 10474.69 rows/s
Processed 4940000 rows; Write: 10648.85 rows/s
Processed 4950000 rows; Write: 10560.62 rows/s
Processed 4960000 rows; Write: 10580.15 rows/s
Processed 4970000 rows; Write: 10597.63 rows/s
Processed 4980000 rows; Write: 10442.43 rows/s
Processed 4990000 rows; Write: 10442.49 rows/s
Processed 5000000 rows; Write: 9824.65 rows/s
Processed 5010000 rows; Write: 10115.04 rows/s
Processed 5020000 rows; Write: 10135.83 rows/s
Processed 5030000 rows; Write: 10550.20 rows/s
Processed 5040000 rows; Write: 10782.68 rows/s
Processed 5050000 rows; Write: 10780.79 rows/s
Processed 5060000 rows; Write: 10615.56 rows/s
Processed 5070000 rows; Write: 10702.87 rows/s
Processed 5080000 rows; Write: 10922.32 rows/s
Processed 5090000 rows; Write: 10767.29 rows/s
Processed 5100000 rows; Write: 10481.37 rows/s
Processed 5110000 rows; Write: 8771.73 rows/s
Processed 5120000 rows; Write: 9831.21 rows/s
Processed 5130000 rows; Write: 10035.20 rows/s
Processed 5140000 rows; Write: 9889.70 rows/s
Processed 5150000 rows; Write: 10258.40 rows/s
Processed 5160000 rows; Write: 9970.66 rows/s
Processed 5170000 rows; Write: 10251.59 rows/s
Processed 5180000 rows; Write: 10235.82 rows/s
Processed 5190000 rows; Write: 10369.53 rows/s
Processed 5200000 rows; Write: 10591.72 rows/s
Processed 5210000 rows; Write: 10322.15 rows/s
Processed 5220000 rows; Write: 10722.19 rows/s
Processed 5230000 rows; Write: 11039.41 rows/s
Processed 5240000 rows; Write: 10730.40 rows/s
Processed 5250000 rows; Write: 10522.71 rows/s
Processed 5260000 rows; Write: 10387.32 rows/s
Processed 5270000 rows; Write: 10844.88 rows/s
Processed 5280000 rows; Write: 10710.11 rows/s
Processed 5290000 rows; Write: 10769.09 rows/s
Processed 5300000 rows; Write: 10548.51 rows/s
Processed 5310000 rows; Write: 10372.11 rows/s
Processed 5320000 rows; Write: 10371.96 rows/s
Processed 5330000 rows; Write: 10337.41 rows/s
Processed 5340000 rows; Write: 11049.69 rows/s
Processed 5350000 rows; Write: 10930.70 rows/s
Processed 5360000 rows; Write: 10765.38 rows/s
Processed 5370000 rows; Write: 10440.89 rows/s
Processed 5380000 rows; Write: 10333.18 rows/s
Processed 5390000 rows; Write: 10403.75 rows/s
Processed 5400000 rows; Write: 10351.60 rows/s
Processed 5410000 rows; Write: 10279.75 rows/s
Processed 5420000 rows; Write: 10582.57 rows/s
Processed 5430000 rows; Write: 10549.33 rows/s
Processed 5440000 rows; Write: 10965.66 rows/s
Processed 5450000 rows; Write: 10849.60 rows/s
Processed 5460000 rows; Write: 10810.06 rows/s
Processed 5470000 rows; Write: 10468.78 rows/s
Processed 5480000 rows; Write: 10344.25 rows/s
Processed 5490000 rows; Write: 9745.60 rows/s
Processed 5500000 rows; Write: 10547.26 rows/s
Processed 5510000 rows; Write: 10802.28 rows/s
Processed 5520000 rows; Write: 10942.93 rows/s
Processed 5530000 rows; Write: 10810.99 rows/s
Processed 5540000 rows; Write: 11034.16 rows/s
Processed 5550000 rows; Write: 10760.40 rows/s
Processed 5560000 rows; Write: 10806.94 rows/s
Processed 5570000 rows; Write: 10574.32 rows/s
Processed 5580000 rows; Write: 10718.90 rows/s
Processed 5590000 rows; Write: 10388.28 rows/s
Processed 5600000 rows; Write: 10341.59 rows/s
Processed 5610000 rows; Write: 10303.63 rows/s
Processed 5620000 rows; Write: 10543.85 rows/s
Processed 5630000 rows; Write: 10196.10 rows/s
